class,Preprocessed
2,rt mayasolov woman complain clean hous amp man alway take trash
1,rt mleew boy dat cold tyga dwn bad cuffin dat hoe st place
1,rt urkindofbrand dawg rt sbabi life ever fuck bitch start cri confus shit
1,rt c g anderson viva base look like tranni
1,rt shenikarobert shit hear might true might faker bitch told ya
1,madison x shit blow claim faith somebodi still fuck hoe
1,brighterday sit hate anoth bitch got much shit go
1,selfiequeenbri caus tire big bitch come u skinni girl
1,amp might get ya bitch back amp that
1,rhythmixx hobbi includ fight mariam bitch
1,keek bitch curv everyon lol walk convers like smh
1,murda gang bitch gang land
1,hoe smoke loser yea go ig
1,bad bitch thing like
1,bitch get
1,bitch nigga miss
1,bitch plz whatev
1,bitch love
1,bitch get cut everyday b
1,black bottl amp bad bitch
1,broke bitch cant tell noth
1,cancel bitch like nino
1,cant see hoe wont chang
1,fuck bitch dont even suck dick kermit video bout fuck ig
1,got ya bitch tip toe hardwood floor http co cou wq l q
1,pussi lip like heaven door
1,hoe hit
1,met pussi ocean dr gave pussi pill
1,need trippi bitch fuck hennessi
1,spend money want bitch busi
1,txt old bitch new bitch pussi wetter
1,say im back old old bitch would get excit
1,aint bout murder game pussi nigga shut
1,toe done pussi stink
1,im done bitter bitch wrap angri bird there app
1,ya bitch
1,aint noth cut bitch
1,ju meet son ya mane as bitch shot
1,lame cri hoe that tear clown
1,like snoop said dont love hoe
2,momma said pussi cat insid doghous
1,hate hoe favorit mw sevenon http co bmdsvmc rc
1,nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick http co bzrdl kf u
1,pimp pimp hoe futur voic
1,post pictur pussi get like
1,pussi power drug happyhumpday http co r jsymib b
1,quick piec pussi call drive
1,run round like brand new pussi that bout get fuck
1,bitch even worst send guy
1,hoe like nigga spend money talk bout
1,dont trust nigga bitch
1,yall nigga b cuf hoe caus yall aint never bitch
1,dodg bullet darealkha da bitch cut pregnant bound thank god
1,young pill chamberlain bitch love music
1,vandalsavag teanna trump probabl cleaner twitter hoe
1,dahomiefuzz gay nigga wait act like bitch tonight
1,paradox ima steal cat n replac pitbul rt sbabi life paradox bitch
1,amp gone alway hoe
1,son bitch took tic tac like movi
1,wan na get money fuck model bitch russel simmon
1,seniorprob probabl mind school much deal bitch as teacher retweet
1,xdemeri fuck fag said
1,arizzleindacut femal think date pussi cute http co vxbjg gsz stuff make pussi
2,addict guy simplyaddictedtoguy http co jl hi zmf woof woof hot scalli lad
1,adorebellaaa ya ever ask bitch bitch kany voic ye
1,adorezoey u gone bring ur side bitch game know ya gf friend swear
2,allaboutmanfeet http co gzupfumev woof woof hot sole
2,allyhaaaaa lemmi eat oreo amp dish one oreo lol
1,almightywayn jetsandaswish gook bitch fuck u http co pxmga nc mayb get better http co tprevwfq
1,almightywayn fuck red malon man bitch as niggah could plea use complet sentenc
2,arizonasfinest eggplant emoji doe say look like scream lmao
1,autoworid hennessey venom gt http co egmnkaj one sexi bitch
1,bossbytchh seh pussi wetter shower curtain ahmesehwet lt lmao
1,bro hen eaglesn everi eagl need see pic post bitch said racist shit
1,bvsedchink yo fuck skateboard wood push faggot man ball life http co vbczp hmt amjemiebenn
2,babyanimalp babi monkey bathtim http co kpwadlf r awwww soooo ador
1,baylaagottabodi shit damn skippi lol
1,beeasyjrizzi u ever kill ant sidewalk think damn nigga way get pussi b must b gt chanc
1,beenbasedb kudabrazyy http co luubgl u ring mvp bitch lol
1,beenflynsolo ppl talk bad ghetto hood kid grow nigga funnnnnnn
1,bestproadvic fact tattoo tattoo http co zwnbhpdz e pussi tattoo nippl
1,bill rt nel ayden bitch want act like nigga bad shit aint cuteeee nigga act like bitch
1,bitchjon get worship bitch http co r cejcjou woof woof
1,blackchiquitita wow rt thatmanpalm lost buttcheek pierc http co yn guyouq yeah hoe
1,blacknerdjad ok si rather broke bitch shrug tell work
0,blackman tide whalelookyher howdydowdi queer gaywad
1,brokenpiecesmsc itsnotadam faggot read tweet dat k even funni lol
1,brosconfess bitch ungrat http co e bgwbx fr lulwhor
1,cashandboobi kidnap yo bitch
0,cb babi white thunduh alsarabsss he beaner smh tell he mexican
1,ccobey aydanmccoy happi birthday nig thank yo
1,chlldhoodruin ur teacher tell u u homework http co rkk vawij bitch need go
1,caelang edham caelang nigga eat hoe lol hell yea lol john paul nigga said john paul http co osipbkpr h
1,canifuckornah would lil ugli bald head bitch stop make make amp weav
1,carelesson leaf better win damn game go riot shit earlychristma better start loot nig
1,causewereguy go back school suck dick hoe attend
1,causewereguy way fuck yo bitch http co j ze r year old
1,celeynichol white thunduh come never bring food dont car retard
1,chadmfverbeck richnow show hella tinder hoe im friend anymor chill brought like like propl
1,chandlerparson bout cowboy shutup pussi
1,clicquotsuav lmaooooooooooo nigga krillz nuh care http co aanpsujmyi lt bitch want like depress shit foh
1,coley cee lil aerii girl know spit g shit amp go lbv bitch plz
1,coley cee let make coupl tweet cuzzo page get twitter jail lmao bitch trick
1,comedypost harlem shake excus go full retard second
1,comedytruth amen miley http co p kb tfyxr okay need act like hoe bc emot damag foh
1,corybandz one loyal femal wayyyyy better hoe idc
1,crhedri pussi lick pussi meow meow stopwhitepeopl http co keegdcj k
1,dbab holloway check th man cowboysn even faggot ny fan stand
